design_object_count,layout_count,composition
306,176,"Group:[types=['Group', 'VStack'], roles=['Description', 'Separator']]"
302,135,"Group:[types=['SVG', 'Text', 'VStack'], roles=['Background', 'Description', 'Title']]"
293,124,"Group:[types=['SVG', 'Text'], roles=['Background', 'Marker', 'Title']]"
292,135,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Title']]"
290,216,"Group:[types=['Group', 'VStack'], roles=['Decoration', 'Title']]"
288,197,"Group:[types=['Group', 'HStack', 'SVG'], roles=['Background', 'Description', 'Title']]"
287,219,"Group:[types=['Group'], roles=['Background', 'Decoration']]"
283,143,"Group:[types=['Group', 'HStack'], roles=['Description']]"
267,114,"Group:[types=['Text', 'VStack'], roles=['Description']]"
260,160,"Group:[types=['Group'], roles=['Decoration', 'Highlight']]"
259,136,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Highlight']]"
258,126,"Group:[types=['Text'], roles=['Description', 'Marker', 'Title']]"
257,148,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Highlight', 'Title']]"
255,137,"Group:[types=['Image', 'Text'], roles=['Decoration', 'Description']]"
253,131,"Group:[types=['SVG', 'Text'], roles=['Description', 'Separator', 'Title']]"
253,109,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Marker', 'Title']]"
247,76,"Group:[types=['Group', 'Text'], roles=['Description', 'Marker', 'Title']]"
239,74,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Marker']]"
238,123,"Group:[types=['Group', 'Text'], roles=['Decoration', 'Highlight']]"
230,164,"Group:[types=['Group'], roles=['Highlight', 'Title']]"
229,149,"Group:[types=['HStack', 'SVG'], roles=['Decoration', 'Title']]"
226,104,"Group:[types=['Image', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Title']]"
219,57,"Group:[types=['Image', 'Text'], roles=['Decoration', 'Marker']]"
218,105,"Group:[types=['SVG', 'Text'], roles=['Background', 'Highlight', 'Title']]"
218,111,"Group:[types=['SVG'], roles=['Background', 'Decoration', 'Separator']]"
217,84,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Description', 'Marker', 'Title']]"
214,101,"Group:[types=['Group', 'SVG'], roles=['Decoration', 'Description', 'Title']]"
214,46,"Group:[types=['Group', 'SVG'], roles=['Decoration', 'Marker']]"
213,133,"Group:[types=['SVG', 'Text'], roles=['Background', 'Description', 'Marker', 'Title']]"
208,124,"Group:[types=['Group'], roles=['Decoration', 'Description', 'Title']]"
207,116,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Marker']]"
205,67,"Group:[types=['SVG', 'VStack'], roles=['Description', 'Marker']]"
205,110,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Decoration', 'Description']]"
204,72,"Group:[types=['HStack', 'Text'], roles=['Description']]"
204,96,"Group:[types=['SVG', 'Text'], roles=['Background', 'Title']]"
197,132,"Group:[types=['Group', 'VStack'], roles=['Decoration', 'Description', 'Title']]"
196,117,"Group:[types=['SVG', 'Text'], roles=['Background', 'Highlight']]"
194,58,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Marker']]"
192,92,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Description']]"
192,107,"Group:[types=['SVG', 'Text'], roles=['Background', 'Subtitle', 'Title']]"
190,152,"Group:[types=['Group'], roles=['Background', 'Title']]"
188,88,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Decoration', 'Description', 'Title']]"
187,52,"Group:[types=['Chart', 'Text'], roles=['Highlight']]"
186,74,"Group:[types=['SVG', 'Text'], roles=['Description']]"
185,86,"Group:[types=['Chart', 'VStack'], roles=['Description']]"
182,85,"Group:[types=['HStack', 'SVG'], roles=['Decoration']]"
182,91,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Title']]"
180,133,"Group:[types=['Group', 'SVG'], roles=['Background']]"
180,97,"Group:[types=['Image', 'SVG', 'Text'], roles=['Decoration', 'Description']]"
179,101,"Group:[types=['Group', 'Image'], roles=['Decoration']]"
177,92,"Group:[types=['HStack', 'SVG'], roles=['Background', 'Description']]"
175,85,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description']]"
175,106,"Group:[types=['Image', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description']]"
175,108,"Group:[types=['Image', 'Text'], roles=['Decoration', 'Highlight']]"
174,109,"Group:[types=['Image', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Highlight']]"
172,107,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Background', 'Decoration', 'Description', 'Title']]"
